snailA,snailB,snailC,snailD,votes,completed,posted,twitteruser,url
18,30,42,10,6532,yes,2018-05-18,@6thGloKage,https://twitter.com/6thGloKage/status/997482841192706048
23,28,39,10,220,yes,2018-05-19,@realtomicstars,https://twitter.com/realtomicstars/status/997956370497458177
13,25,48,14,801,yes,2018-05-26,@NinetyFive_UK,https://twitter.com/NinetyFive_UK/status/1000319287675023360
23,33,35,9,1701,yes,2018-05-26,@BangtanBrokers,https://twitter.com/BangtanBrokers/status/1000221959085375489
17,30,40,13,1011,yes,2018-05-24,@KloppEN,https://twitter.com/KIoppEN/status/999787010175971329
13,20,44,23,91,yes,2018-05-23,@BeeHaven007,https://twitter.com/BeeHaven007/status/999155613123870721
11,23,53,13,66,yes,2018-05-25,@justaglitch_,https://twitter.com/justaglitch_/status/999871216738484226
17,19,42,22,215,yes,2018-05-23,@TFIRetro,https://twitter.com/TFIRetro/status/999385636334456833
24,33,27,16,206,yes,2018-05-21,@posicionMessi,https://twitter.com/posicionMessi/status/998580919626797056
13,33,40,14,1008,yes,2018-05-16,@CliqueBlowingUp,https://twitter.com/CliqueBlowingUp/status/996878932560564225
11,29,50,10,197,yes,2018-05-25,@_AlyssaS_,https://twitter.com/_AlyssaS_/status/1000138289754624000
15,30,44,11,16062,yes,2018-05-10,@ComFade,https://twitter.com/ComFade/status/994426959919796225
16,30,42,12,1112,yes,2018-03-28,@aloebud,https://twitter.com/aloebud/status/978827332537503744
12,27,47,14,844,yes,2018-03-10,@SimonCDavidson,https://twitter.com/SimonCDavidson/status/972435449397612544
9,34,48,9,2281,yes,2018-02-20,@tonytx4_,https://twitter.com/tonytx4_/status/965948357360472064
12,28,51,9,4039,yes,2018-01-11,@BestRandomPolls,https://twitter.com/BestRandomPolls/status/951590575517720576
13,34,45,8,203,yes,2018-01-07,@goldenboydjh,https://twitter.com/goldenboydjh/status/950069018785820672
15,37,29,19,239,yes,2017-12-31,@ashisafrog,https://twitter.com/ashisafrog/status/947511814740496398
16,27,43,14,2413,yes,2017-12-28,@NiiekAa,https://twitter.com/NiiekAa/status/946295851802157056
13,26,45,16,9138,yes,2017-12-25,@ScottThomas1998,https://twitter.com/ScottThomas1988/status/945393581786828800
27,29,35,9,469,yes,2017-12-16,@Paroos_,https://twitter.com/Paroos_/status/941894738374025216
31,36,26,7,1718,yes,2017-12-02,@ApolloTheK9,https://twitter.com/ApoIIoTheK9/status/937107597571715072
11,31,48,10,1615,yes,2017-12-08,@alightskinnigga,https://twitter.com/alightskinnigga/status/939200347016396800
18,48,29,5,228,yes,2017-12-02,@ethansshoulder,https://twitter.com/ethansshoulder/status/936957037291888641
12,24,46,18,535,yes,2017-11-09,@Brrrrraaaaiiins,https://twitter.com/Brrrrraaaaiiins/status/928419982349914112
13,38,39,10,304,yes,2017-11-05,@wckdlovers,https://twitter.com/wckdlovers/status/927024313215143936
16,31,43,10,389,yes,2017-10-22,@WineMom_xo,https://twitter.com/WineMom_xo/status/922128190625038338
14,29,45,12,12064,yes,2017-08-14,@RealKhalilU,https://twitter.com/RealKhalilU/status/897103195536711685
13,30,46,11,11645,yes,2017-08-10,@TheRunnerProbs,https://twitter.com/TheRunnerProbs/status/895683032983711744
13,27,43,17,5663,yes,2017-08-08,@BrooksBeau,https://twitter.com/BrooksBeau/status/894931467599462401
18,25,38,19,3294,yes,2017-08-07,@__oyama___,https://twitter.com/__oyama___/status/894549013931806720
23,38,30,9,1110,yes,2017-07-28,@_zahz,https://twitter.com/_zahz/status/890773392135249925
12,30,45,13,70180,yes,2017-07-25,@JoeVargas,https://twitter.com/JoeVargas/status/889925683568398337
16,29,39,16,702,yes,2017-07-21,@thedubrebellion,https://twitter.com/thedubrebellion/status/888367489935167488
13,26,47,14,39689,yes,2017-07-07,@BestRandomPolls,https://twitter.com/BestRandomPolls/status/883135662425341953
18,29,40,13,4531,yes,2017-06-29,@Karabo_Mokgoko,https://twitter.com/Karabo_Mokgoko/status/880471298396258305
17,33,39,11,746,yes,2017-06-27,@SnackFeverUS,https://twitter.com/SnackFeverUS/status/879501313742065665
22,34,34,10,894,yes,2017-06-21,@MillGamingg,https://twitter.com/MillGamingg/status/877317973547118596
15,28,45,12,1094,yes,2017-06-16,@PunsAndQuotes,https://twitter.com/PunsAndQuotes/status/875616815585427457
23,29,40,8,1787,yes,2017-06-15,@SylviusGaming,https://twitter.com/SylviusGaming/status/875284966694936577
27,31,39,12,255,yes,2017-06-14,@Proxzehh,https://twitter.com/Proxzehh/status/874918483708039169
20,34,36,10,10794,yes,2017-06-05,@aerilzafrel,https://twitter.com/aerilzafrel/status/871776054603423745
14,31,45,10,1184,yes,2017-06-03,@drewmorgan15,https://twitter.com/drewmorgan15/status/871013302800928768
19,29,39,14,340,yes,2017-06-03,@JoeSondow,https://twitter.com/JoeSondow/status/870924730466881537
17,27,44,12,264,yes,2017-05-27,@Local_Alchemist,https://twitter.com/Local_Alchemist/status/868323403421196290
